	GSM461182_untreat_single	GSM461178_untreat_paired	GSM461177_untreat_paired	GSM461176_untreat_single	GSM461181_treat_paired	GSM461180_treat_paired	GSM461179_treat_single
FBgn0037678	-19.309130	-26.711147	-9.420198	-17.777424	27.269116	40.401121	5.547662
FBgn0015568	-66.460689	-33.225863	-92.905222	-67.694612	102.661846	101.345231	56.279310
FBgn0265276	-91.259213	-93.514324	-73.481352	-58.080411	76.580278	86.319335	153.435687
FBgn0039827	160.756861	204.480897	232.701669	118.659166	-230.594326	-247.147703	-238.856564
FBgn0039109	207.334976	129.048319	175.557168	130.125218	-194.908995	-231.870080	-215.286607
FBgn0063649	231.776368	95.204837	255.943260	181.410606	-266.316173	-244.875420	-253.143478
FBgn0039098	180.699007	94.765883	15.698397	54.733063	-107.761218	-121.205438	-116.929693
FBgn0002773	-3.704255	32.570147	7.851355	8.222303	-10.813481	-19.452181	-14.673888
FBgn0038865	116.850903	93.761299	57.350716	35.109923	-85.554379	-106.632899	-110.885563
FBgn0026562	8489.997357	42873.755588	33064.885302	7979.579581	-28232.582139	-29507.729620	-34667.906069
FBgn0038149	-343.972948	-281.132116	-349.250644	-347.854368	623.535320	387.905735	310.769021
FBgn0051477	-16.643144	-11.251071	-12.087566	-12.587414	6.387834	9.159767	37.021594
FBgn0038484	22.651214	9.954959	7.706715	-2.970407	-15.431554	-10.079381	-11.831546
FBgn0265274	-29.778577	-10.808039	-20.834093	-12.712228	26.615320	22.949045	24.568572
FBgn0037223	13.026003	5.918026	9.748217	21.113448	-14.621618	-17.003116	-18.180960
FBgn0037290	-42.963987	-57.473892	-54.075141	-54.100920	58.452115	60.365180	89.796645
FBgn0051125	-9.853245	-11.323891	-12.519920	-6.982437	11.658572	18.306209	10.714712
FBgn0038381	84.023992	48.827108	14.468182	26.681773	-62.591785	-58.968034	-52.441235
FBgn0038237	-5.498103	7.639078	20.946455	37.295532	-23.905265	-22.854705	-13.622994
FBgn0039759	-6.243992	-5.459707	-8.355110	-10.569658	22.369625	1.858910	6.399932
FBgn0038261	-14.185184	-16.342103	-6.685150	-18.997404	19.244064	29.749668	7.216109
FBgn0039593	-22.744856	-15.391980	-31.856002	-20.702582	37.306862	18.517519	34.871038
FBgn0261552	1306.992332	1214.515826	2958.722545	5204.560564	-4065.031272	-3912.270027	-2707.489968
FBgn0038198	-32.941719	-51.471242	-32.552824	-39.064224	74.595336	45.474345	35.960329
FBgn0002868	102.370265	26.487129	1.758769	94.599328	-76.081841	-81.913134	-67.220517
FBgn0085334	-20.905456	38.065062	-0.294255	50.120278	-27.904049	-24.670734	-14.410846
FBgn0039479	-98.654394	-67.968360	-62.376454	-80.644241	117.828246	126.019885	65.795318
FBgn0037754	191.608268	52.096967	72.496725	142.800654	-155.583501	-142.188856	-161.230257
FBgn0039257	192.661747	85.257089	145.828335	254.906903	-211.020458	-242.437677	-225.195937
FBgn0038528	-59.117820	-60.049528	-60.895590	-74.628934	91.759916	44.438759	118.493196
FBgn0039464	-384.740937	-205.183562	-226.184654	-303.731999	513.895914	500.100813	105.844425
FBgn0024288	23.657135	44.490193	53.157271	42.852211	-55.148497	-54.360576	-54.647737
FBgn0037635	35.414644	65.560933	62.303680	49.710076	-68.096318	-73.210639	-71.682376
FBgn0039419	592.886837	406.505844	612.998401	666.640104	-768.986289	-815.487244	-694.557654
FBgn0039094	5.005963	10.005894	4.394853	6.214901	-7.206490	-8.356422	-10.058698
FBgn0039155	604.066227	537.492915	418.287883	489.415357	-670.666132	-685.136125	-693.460124
FBti0019307	-10.801359	-3.203316	-6.134673	-9.298472	-0.948830	17.588559	12.798092
FBgn0039640	5.034189	41.504528	34.867659	41.753349	-46.603232	-36.605172	-39.951321
FBgn0266801	-124.570409	-102.806001	-25.514428	-48.419778	95.385662	95.563254	110.361701
FBgn0051092	-93.150956	-103.984512	-94.984288	-95.535696	143.619360	152.155274	91.880818
FBgn0039788	-7.525100	-3.848663	-14.414016	-9.008776	5.874616	12.358984	16.562956
FBgn0037646	16.146867	26.342754	10.813520	39.633988	-28.204365	-31.554789	-33.177975
FBgn0000071	-252.918862	-203.556330	-211.640902	-229.908689	398.380373	311.457630	188.186779
FBgn0039178	-11.744076	-9.832325	-11.244073	-7.394395	5.025865	25.927015	9.261989
FBgn0038832	315.680393	124.697797	94.068453	129.150322	-212.566700	-225.904498	-225.125766
FBgn0002609	38.752820	6.546640	10.808272	11.021197	-26.070478	-24.150362	-16.908089
FBgn0259821	-36.960045	-77.205641	-54.682319	-43.208396	31.210946	61.623987	119.221468
FBgn0263041	112.076715	63.644547	8.631874	-0.881957	-64.022893	-61.776240	-57.672046
FBgn0038545	-10.420853	-28.215231	-42.476530	-18.296969	21.761977	23.167498	54.480108
FBgn0039485	-24.347598	-22.190859	-32.180959	-23.109844	23.565421	41.424947	36.838892
FBgn0024491	-356.454021	-238.465546	-309.064856	-176.789559	307.986027	290.375483	482.412472
FBgn0051337	44.330743	477.366752	190.609281	306.400880	-246.977003	-372.731370	-398.999282
FBgn0052185	-8.549255	-13.598327	-8.715920	-5.683251	12.999439	11.650764	11.896550
FBgn0004396	-1078.079919	-1124.751165	-662.355768	-211.898871	703.108910	635.182411	1738.794402
FBgn0002945	-13.996411	8.846590	43.059388	28.166096	-24.475863	-28.106664	-13.493137
FBgn0023479	410.623672	1072.768712	1588.351328	1744.248313	-1706.887329	-1516.192659	-1592.912037
FBgn0052407	131.310189	77.632565	62.254396	114.232292	-131.279470	-142.054764	-112.095208
FBgn0035539	-4.269563	-14.857862	-16.269611	-5.406457	27.094782	8.947827	4.760884
FBgn0063667	-9.443895	-6.698807	-11.221679	-9.270503	16.780345	11.130058	8.724481
FBgn0035267	-3.032268	-22.689257	-6.810056	-12.820493	10.433778	20.414102	14.504194
FBgn0035523	-30.286029	-17.393926	-32.230479	-7.709092	1.476546	46.348892	39.794088
FBgn0035189	-176.196307	-162.274840	-134.751685	-146.745664	197.322152	291.201776	131.444569
FBgn0035710	-15.578031	-9.646661	-11.022456	-7.225453	13.544448	14.133626	15.794527
FBgn0035727	-32.815406	-35.903764	-32.037619	-30.243351	46.720103	57.697776	26.582260
FBgn0036373	-698.891778	1204.431875	2288.398888	1230.225630	-1020.232884	-1066.431424	-1937.500308
FBgn0263232	-67.368593	-149.575331	-119.535440	-105.659824	53.154845	107.876306	281.108038
FBgn0263042	3.344906	24.913377	14.122736	23.643254	-20.357299	-30.046559	-15.620415
FBgn0259224	-170.211863	-87.467172	-71.544766	-72.274405	108.667567	103.223295	189.607343
FBgn0037046	-11.824110	-14.520236	-12.713000	-9.627656	-2.989306	19.668690	32.005619
FBgn0035344	23.137079	27.989676	42.914954	28.839785	-42.379470	-33.531341	-46.970683
FBgn0037153	-73.582042	-73.337143	-57.970857	-53.934033	61.042042	76.612392	121.169642
FBgn0036801	17.214799	9.616576	12.214786	4.623007	-15.978583	-10.544775	-17.145810
FBgn0265706	3.178844	-4.468340	28.845623	20.278813	-12.116238	-24.350265	-11.368438
FBgn0036985	45.235137	504.640384	661.182440	1454.012906	-905.139211	-844.547125	-915.384531
FBgn0029002	-1125.755101	-474.873965	-641.697464	-443.412861	956.741262	806.668674	922.329456
FBgn0264702	-47.055121	-19.849319	-4.554940	-25.961860	26.433191	37.510235	33.477814
FBgn0040827	91.191805	61.239750	91.080740	157.904825	-132.526052	-151.052755	-117.838313
FBgn0001225	-170.230654	-121.358906	-167.452828	-198.160653	329.143162	189.117545	138.942333
FBgn0000567	49.402475	49.989658	147.402929	90.730189	-129.543895	-113.476688	-94.504667
FBgn0001224	-271.562119	-180.533740	-290.784373	-272.132265	466.064298	278.926953	270.021246
FBgn0036862	-187.615861	-110.116178	-40.504123	-36.961575	122.856607	78.119327	174.221802
FBgn0010223	27.666995	14.088261	12.666945	26.828370	-27.775759	-24.460809	-29.014004
