	GSM461182_untreat_single	GSM461178_untreat_paired	GSM461177_untreat_paired	GSM461176_untreat_single	GSM461181_treat_paired	GSM461180_treat_paired	GSM461179_treat_single
FBgn0037678	-0.757586	-1.048002	-0.369598	-0.697490	1.069893	1.585122	0.217660
FBgn0015568	-0.787703	-0.393798	-1.101128	-0.802328	1.216765	1.201160	0.667032
FBgn0265276	-0.892698	-0.914757	-0.718795	-0.568143	0.749108	0.844376	1.500908
FBgn0039827	0.710459	0.903696	1.028417	0.524410	-1.019103	-1.092260	-1.055618
FBgn0039109	1.025006	0.637978	0.867905	0.643302	-0.963575	-1.146300	-1.064316
FBgn0063649	0.951296	0.390756	1.050486	0.744576	-1.093060	-1.005059	-1.038994
FBgn0039098	1.519511	0.796893	0.132009	0.460254	-0.906172	-1.019225	-0.983270
FBgn0002773	-0.207375	1.823374	0.439542	0.460309	-0.605371	-1.088991	-0.821488
FBgn0038865	1.188968	0.954029	0.583549	0.357247	-0.870523	-1.084999	-1.128270
FBgn0026562	0.269901	1.362979	1.051150	0.253675	-0.897529	-0.938066	-1.102111
FBgn0038149	-0.812191	-0.663811	-0.824653	-0.821356	1.472296	0.915926	0.733790
FBgn0051477	-0.868482	-0.587110	-0.630760	-0.656843	0.333333	0.477980	1.931881
FBgn0038484	1.628988	0.715922	0.554237	-0.213620	-1.109778	-0.724870	-0.850879
FBgn0265274	-1.244038	-0.451520	-0.870371	-0.531070	1.111889	0.958726	1.026384
FBgn0037223	0.802976	0.364811	0.600920	1.301519	-0.901336	-1.048142	-1.120749
FBgn0037290	-0.651116	-0.871013	-0.819505	-0.819896	0.885838	0.914830	1.360862
FBgn0051125	-0.756948	-0.869926	-0.961808	-0.536406	0.895637	1.406324	0.823128
FBgn0038381	1.437116	0.835121	0.247459	0.456355	-1.070547	-1.008568	-0.896936
FBgn0038237	-0.238161	0.330902	0.907337	1.615530	-1.035504	-0.989997	-0.590107
FBgn0039759	-0.542397	-0.474268	-0.725783	-0.918155	1.943182	0.161478	0.555943
FBgn0038261	-0.743961	-0.857084	-0.350612	-0.996345	1.009281	1.560262	0.378459
FBgn0039593	-0.776471	-0.525457	-1.087511	-0.706752	1.273594	0.632157	1.190439
FBgn0261552	0.362064	0.336446	0.819627	1.441771	-1.126098	-1.083780	-0.750031
FBgn0038198	-0.653505	-1.021097	-0.645790	-0.774964	1.479837	0.902129	0.713388
FBgn0002868	1.300975	0.336612	0.022351	1.202218	-0.966888	-1.040995	-0.854274
FBgn0085334	-0.661471	1.204419	-0.009311	1.585859	-0.882914	-0.780608	-0.455974
FBgn0039479	-0.996219	-0.686349	-0.629882	-0.814351	1.189838	1.272558	0.664406
FBgn0037754	1.275054	0.346678	0.482428	0.950265	-1.035328	-0.946194	-1.072904
FBgn0039257	0.884537	0.391427	0.669518	1.170313	-0.968824	-1.113065	-1.033906
FBgn0038528	-0.716786	-0.728083	-0.738341	-0.904854	1.112562	0.538807	1.436696
FBgn0039464	-1.016868	-0.542299	-0.597805	-0.802762	1.358224	1.321764	0.279746
FBgn0024288	0.455509	0.856641	1.023523	0.825103	-1.061863	-1.046692	-1.052221
FBgn0037635	0.527534	0.976592	0.928072	0.740478	-1.014359	-1.090541	-1.067776
FBgn0039419	0.828085	0.567767	0.856175	0.931096	-1.074043	-1.138991	-0.970089
FBgn0039094	0.608512	1.216291	0.534227	0.755468	-0.876003	-1.015785	-1.222710
FBgn0039155	0.941791	0.837997	0.652146	0.763040	-1.045625	-1.068185	-1.081163
FBti0019307	-0.982568	-0.291396	-0.558053	-0.845855	-0.086312	1.599979	1.164205
FBgn0039640	0.124469	1.026187	0.862093	1.032339	-1.152251	-0.905052	-0.987785
FBgn0266801	-1.251003	-1.032433	-0.256230	-0.486257	0.957914	0.959698	1.108312
FBgn0051092	-0.761172	-0.849697	-0.776153	-0.780658	1.173568	1.243318	0.750793
FBgn0039788	-0.642933	-0.328824	-1.231511	-0.769696	0.501918	1.055932	1.415113
FBgn0037646	0.531653	0.867363	0.356047	1.304991	-0.928659	-1.038975	-1.092420
FBgn0000071	-0.881281	-0.709280	-0.737450	-0.801103	1.388133	1.085256	0.655726
FBgn0039178	-0.830792	-0.695552	-0.795421	-0.523090	0.355537	1.834113	0.655206
FBgn0038832	1.441800	0.569530	0.429637	0.589865	-0.970851	-1.031769	-1.028212
FBgn0002609	1.644541	0.277818	0.458667	0.467703	-1.106345	-1.024861	-0.717523
FBgn0259821	-0.512796	-1.071177	-0.758681	-0.599488	0.433031	0.854992	1.654119
FBgn0263041	1.642737	0.932854	0.126520	-0.012927	-0.938400	-0.905470	-0.845314
FBgn0038545	-0.304610	-0.824755	-1.241625	-0.534836	0.636121	0.677205	1.592499
