category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	p_adjust_over_represented	p_adjust_under_represented
GO:0005576	3.31500383378076e-09	1	107	1064	extracellular region	CC	4.04894568257982e-05	1
GO:0006950	7.22659077756023e-08	1	153	1317	response to stress	BP	0.000441327898785603	1
GO:0044281	2.82097078833001e-07	1	99	809	small molecule metabolic process	BP	0.000662248352097232	1
GO:0005978	3.17798812376706e-07	0.999999992473689	8	10	glycogen biosynthetic process	BP	0.000662248352097232	1
GO:0009250	3.17798812376706e-07	0.999999992473689	8	10	glucan biosynthetic process	BP	0.000662248352097232	1
GO:0016491	3.39846452104145e-07	1	74	603	oxidoreductase activity	MF	0.000662248352097232	1
GO:0019991	3.79543021506519e-07	0.999999951308083	14	37	septate junction assembly	BP	0.000662248352097232	1
GO:0060856	4.56970230175511e-07	0.99999996212571	11	22	establishment of blood-brain barrier	BP	0.000697679298920462	1
GO:0005615	1.38773260833115e-06	0.999999530520083	71	705	extracellular space	CC	0.00188330734201741	1
GO:0016765	1.56404980009209e-06	0.999999725158549	15	68	transferase activity, transferring alkyl or aryl (other than methyl) groups	MF	0.00191033042583248	1
GO:0004364	1.81415047958626e-06	0.999999808833799	10	40	glutathione transferase activity	MF	0.00201436672342423	1
GO:0120192	2.43186718903462e-06	0.999999620678861	14	41	tight junction assembly	BP	0.00228483275745145	1
GO:0120193	2.43186718903462e-06	0.999999620678861	14	41	tight junction organization	BP	0.00228483275745145	1
GO:0016051	2.65508444784349e-06	0.999999511519359	16	50	carbohydrate biosynthetic process	BP	0.00231637153185431	1
GO:0000271	4.77561164897152e-06	0.999999647132987	9	16	polysaccharide biosynthetic process	BP	0.00346975547175604	1
GO:0033692	4.77561164897152e-06	0.999999647132987	9	16	cellular polysaccharide biosynthetic process	BP	0.00346975547175604	1
GO:0005829	4.82936327328089e-06	0.999997403528264	108	1265	cytosol	CC	0.00346975547175604	1
GO:0044283	5.47201575982851e-06	0.999997938382791	35	222	small molecule biosynthetic process	BP	0.00367426853428199	1
GO:0016052	5.71566253081364e-06	0.999998700115028	18	70	carbohydrate catabolic process	BP	0.00367426853428199	1
GO:0005975	6.05056142823724e-06	0.999997448585688	45	271	carbohydrate metabolic process	BP	0.00369507786422448	1
GO:0006749	1.00126188366672e-05	0.999998368868547	12	53	glutathione metabolic process	BP	0.00546622165446806	1
GO:0032501	1.04293207507755e-05	0.999992755377668	354	3567	multicellular organismal process	BP	0.00546622165446806	1
GO:0009607	1.1188434694752e-05	0.999994500669108	62	488	response to biotic stimulus	BP	0.00546622165446806	1
GO:0043207	1.1188434694752e-05	0.999994500669108	62	488	response to external biotic stimulus	BP	0.00546622165446806	1
GO:0051707	1.1188434694752e-05	0.999994500669108	62	488	response to other organism	BP	0.00546622165446806	1
GO:0098542	1.28274989204847e-05	0.999993774275207	59	450	defense response to other organism	BP	0.00602596430056922	1
