GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-value	P-adj	Chromosome	Start	End	Strand	Feature	Gene name
FBgn0026562	43868.5455480573	-2.46933030084869	0.0864496432862815	-28.56379976805	1.89316418955123e-179	1.63777634038077e-175	chr3R	26869237	26871995	-	protein_coding	SPARC
FBgn0003360	4392.7577141093	-3.1701122171584	0.112743656378404	-28.1178765971408	5.92307800497883e-174	2.56202739105359e-170	chrX	10780892	10786958	-	protein_coding	sesB
FBgn0039155	735.939136596636	-4.61554656525852	0.170915782537854	-27.0048002397689	1.29799959919955e-160	3.74299817755844e-157	chr3R	24141394	24147490	+	protein_coding	Kal1
FBgn0025111	1508.08707143002	2.80868803635876	0.104634177350187	26.8429313202198	1.01998388582987e-158	2.20597014907856e-155	chrX	10778953	10786907	-	protein_coding	Ant2
FBgn0029167	3663.82173154691	-2.19807643925039	0.0950785197800491	-23.1185387018575	3.01420639838627e-118	5.21517991048793e-115	chr3L	13846053	13860001	+	protein_coding	Hml
FBgn0035085	644.366837429722	-2.61651171057442	0.132758077775416	-19.7088701073295	1.80962448435325e-86	2.60917690235666e-83	chr2R	24945138	24946636	+	protein_coding	CG3770
FBgn0039827	265.07817718924	-4.06479141979196	0.218093453770094	-18.6378423997857	1.585062351818e-77	1.95891062936822e-74	chr3R	31196915	31203722	+	protein_coding	CG1544
FBgn0264475	650.947679886028	-2.53279144691797	0.144818756655837	-17.489388152511	1.72600367170472e-68	1.8664572204897e-65	chr3L	820758	821512	+	ncRNA	lncRNA:CR43883
FBgn0034736	222.308995848072	-3.54211052361843	0.215971150617384	-16.4008503612302	1.88579795899933e-60	1.81267090481147e-57	chr2R	22550093	22552113	+	protein_coding	gas
FBgn0000071	322.085805028094	2.60042873862891	0.163550563689657	15.8998457722427	6.35209389901759e-57	5.49519643204012e-54	chr3R	6762592	6765261	+	protein_coding	Ama
FBgn0029896	477.291034028138	-2.40578423566304	0.153642980494637	-15.6582762708578	2.91696422801205e-55	2.29405977604839e-52	chrX	6720003	6739986	-	protein_coding	CG3168
FBgn0038832	290.155365602645	-2.70240226178252	0.20022783520251	-13.4966362646298	1.63680376366486e-41	1.11075145505941e-38	chr3R	20842139	20844981	+	protein_coding	CG15695
FBgn0027279	2946.64213921217	-1.20455843890617	0.0892583247464128	-13.4951943398936	1.66914448223006e-41	1.11075145505941e-38	chrX	22487179	22508129	+	protein_coding	l(1)G0196
FBgn0035189	207.86310008807	2.8875858243764	0.230093556805704	12.5496161842321	3.99441446629396e-36	2.3037119698606e-33	chr3L	1203315	1204795	-	protein_coding	CG9119
FBgn0040091	1090.94411316351	-1.56774640644996	0.124872630219065	-12.5547640319552	3.74295411924742e-36	2.3037119698606e-33	chr2R	22641785	22643917	-	protein_coding	Ugt317A1
FBgn0001226	1188.39103759586	1.6783274024138	0.134070172130468	12.5182758830247	5.93094889637058e-36	3.20678993140637e-33	chr3L	9384062	9385694	+	protein_coding	Hsp27
FBgn0040099	858.740248668437	-1.78169084605311	0.142744812427003	-12.4816504064849	9.40174221206354e-36	4.78438069862127e-33	chr2L	7857076	7860120	+	protein_coding	lectin-28C
FBgn0023479	3098.55704032873	-1.53325671604594	0.123781780062788	-12.3867722314884	3.08200385826525e-35	1.48124529876959e-32	chr3L	9074642	9092131	+	protein_coding	teq
FBgn0039419	1812.12278905736	-1.16169067066651	0.0950771432867148	-12.2184010847204	2.47912680676587e-34	1.12878557922798e-31	chr3R	26230247	26234700	+	protein_coding	CG12290
FBgn0011260	196.142303063605	2.22997326981393	0.184056688390172	12.1156872337436	8.72298941863676e-34	3.77312907303133e-31	chr2R	16500177	16533459	+	protein_coding	Sema2a
FBgn0264753	114.967338028304	-3.22278972896066	0.273305570868969	-11.791891832698	4.29776953647555e-32	1.77047639333571e-29	chr2R	19311147	19356525	-	protein_coding	Rgk1
FBgn0262733	371.009528424049	2.08286964912259	0.177528687785904	11.7325806611859	8.67721229286064e-32	3.41211652479715e-29	chr3L	4592446	4626196	-	protein_coding	Src64B
FBgn0261552	6035.53705762537	-1.77977474282197	0.151888180478647	-11.7176645161812	1.03485687630686e-31	3.8924116682307e-29	chr3R	9417939	9455500	+	protein_coding	ps
FBgn0033913	5118.11723962841	-1.18051037093744	0.101603805679084	-11.6187613549249	3.3089881235647e-31	1.19275234403993e-28	chr2R	14219897	14230620	+	protein_coding	CG8468
FBgn0037754	218.39337298169	-2.34099562944303	0.205456006627838	-11.3941454809033	4.4719588848143e-30	1.54747665250114e-27	chr3R	9784652	9789323	+	protein_coding	CG8500
FBgn0031150	803.838218739031	1.25485608904658	0.111458360332944	11.2585191931598	2.10262089609658e-29	6.99606668158903e-27	chrX	21053962	21082391	+	protein_coding	bves
FBgn0052407	192.857775362934	-2.09536038987131	0.189386400999919	-11.0639432335599	1.87661781232658e-28	5.79807881944186e-26	chr3L	5922054	5923567	+	protein_coding	CG32407
FBgn0051092	155.651206370697	2.23587137864539	0.204028320490528	10.9586324745009	6.04052265475035e-28	1.80195039607742e-25	chr3R	25698726	25740465	-	protein_coding	LpR2
FBgn0283658	1334.55251816393	-1.14113140140011	0.105184151475168	-10.8488910676767	2.01859480931335e-27	5.82095456512327e-25	chr2L	7426865	7430329	+	protein_coding	muc
FBgn0034010	525.879538634805	-1.43866125237356	0.133035064603119	-10.8141508155424	2.95012118398209e-27	8.23274140729969e-25	chr2R	15325502	15326386	-	protein_coding	CG8157
FBgn0035147	19507.7643398384	-1.18808311892441	0.111322469818132	-10.6724466396171	1.36971458046546e-26	3.7029377611271e-24	chr3L	648554	651311	+	protein_coding	Gale
FBgn0003748	1082.06931717803	1.09040391087987	0.104174786881527	10.4670615944714	1.22383016310564e-25	3.20828931546269e-23	chr2R	21074017	21088945	+	protein_coding	Treh
FBgn0001224	583.230032924849	1.45752703261712	0.140513945961785	10.3728282814969	3.29621738179185e-25	8.38693428525921e-23	chr3L	9381881	9382765	+	protein_coding	Hsp23
FBgn0261596	16579.9400664631	-1.10002285370978	0.106960872924257	-10.2843481325059	8.2901130595856e-25	1.99216022440208e-22	chr2R	22640525	22641419	-	protein_coding	RpS24
FBgn0264437	133.415495049894	2.79930420367378	0.273118516477202	10.2494120127057	1.19065618205215e-24	2.78388287322517e-22	chr2L	8590369	8594489	-	ncRNA	lncRNA:CR43855
FBgn0040827	213.809415969489	-1.91634181726435	0.187142503045608	-10.2400138187599	1.3121762722078e-24	2.98727287654465e-22	chr3L	9096876	9097494	+	protein_coding	CG13315
FBgn0283437	5777.06499152111	1.49496361792496	0.147048338439533	10.166477457613	2.7984663410456e-24	6.2075723888168e-22	chr2R	17887219	17889973	-	protein_coding	PPO1
FBgn0039109	456.001011959663	-1.34506168472093	0.13512539547348	-9.95417389905004	2.41822872323643e-23	5.23002417117959e-21	chr3R	23723330	23731499	+	protein_coding	CG10365
FBgn0016715	138.411376147527	-2.27246531806097	0.230435888738427	-9.86159460881763	6.10716671057798e-23	1.28861217593195e-20	chr3L	605164	606569	-	protein_coding	Reg-2
FBgn0261673	64.1286595544736	3.2596185400348	0.330648876990873	9.8582477270134	6.31416635654014e-23	1.30056793215307e-20	chr2R	12659496	12670219	-	protein_coding	nemy
FBgn0085359	68.0989508465214	-4.92060569393141	0.500265309751886	-9.83599221855272	7.87870951267249e-23	1.58508641846813e-20	chrX	19068274	19068973	-	protein_coding	CG34330
FBgn0024288	58.8431949734756	-4.59218641560806	0.472384005797942	-9.72129953437146	2.44639078720753e-22	4.80993788639372e-20	chr3R	31065252	31083407	+	protein_coding	Sox100B
FBgn0037290	69.6307607595817	3.07890588329557	0.320888781024214	9.59493153194173	8.39728354119744e-22	1.61433110921998e-19	chr3R	4965444	4968485	+	protein_coding	CG1124
